( 6480, 1874 )
( 6485, 1875 )
( 6490, 1875 )
( 6495, 1875 )
( 6500, 1876 )
( 6505, 1876 )
( 6510, 1876 )
( 6515, 1876 )
( 6520, 1877 )
( 6525, 1877 )
( 6530, 1877 )
( 6535, 1878 )
( 6540, 1878 )
( 6545, 1878 )
( 6550, 1879 )
( 6555, 1879 )
( 6560, 1879 )
( 6565, 1879 )
( 6570, 1880 )
( 6575, 1880 )
( 6580, 1880 )
( 6585, 1880 )
( 6590, 1881 )
( 6595, 1881 )
( 6600, 1881 )
( 6605, 1882 )
( 6610, 1882 )
( 6615, 1882 )
( 6620, 1883 )
( 6625, 1883 )
