( 5, 0 )
( 4730, 6843 )
( 4735, 6849 )
( 4740, 6854 )
( 4745, 6859 )
( 4750, 6864 )
( 4755, 6869 )
( 4760, 6873 )
( 4765, 6878 )
( 4770, 6884 )
( 4775, 6889 )
( 4780, 6894 )
( 4785, 6899 )
( 4790, 6904 )
( 4795, 6909 )
( 4800, 6914 )
( 4805, 6919 )
( 4810, 6924 )
( 4815, 6930 )
( 4820, 6935 )
( 4825, 6940 )
( 4830, 6946 )
( 4835, 6951 )
( 4840, 6956 )
( 4845, 6962 )
( 4850, 6967 )
( 4855, 6972 )
( 4860, 6977 )
( 4865, 6983 )
( 4870, 6988 )
( 4875, 6993 )
( 4880, 6998 )
( 4885, 7004 )
( 4890, 7009 )
( 4895, 7014 )
( 4900, 7019 )
( 4905, 7024 )
( 4910, 7030 )
( 4915, 7035 )
( 4920, 7040 )
( 4925, 7046 )
( 4930, 7051 )
( 4935, 7055 )
( 4940, 7061 )
( 4945, 7066 )
( 4950, 7070 )
( 4955, 7076 )
( 4960, 7081 )
( 4965, 7086 )
( 4970, 7092 )
( 4975, 7098 )
( 4980, 7103 )
( 4985, 7109 )
( 4990, 7114 )
( 4995, 7120 )
( 5000, 7126 )
( 5005, 7131 )
( 5010, 7136 )
( 5015, 7141 )
( 5020, 7146 )
( 5025, 7152 )
( 5030, 7157 )
( 5035, 7162 )
( 5040, 7168 )
( 5045, 7174 )
( 5050, 7179 )
( 5055, 7185 )
( 5060, 7190 )
( 5065, 7196 )
( 5070, 7201 )
( 5075, 7206 )
( 5080, 7212 )
( 5085, 7217 )
( 5090, 7223 )
( 5095, 7228 )
( 5100, 7233 )
( 5105, 7239 )
( 5110, 7244 )
( 5115, 7249 )
( 5120, 7255 )
( 5125, 7260 )
( 5130, 7265 )
( 5135, 7271 )
( 5140, 7276 )
( 5145, 7281 )
( 5150, 7286 )
( 5155, 7291 )
( 5160, 7296 )
( 5165, 7301 )
( 5170, 7306 )
( 5175, 7311 )
( 5180, 7317 )
( 5185, 7322 )
( 5190, 7327 )
( 5195, 7332 )
( 5200, 7337 )
( 5205, 7342 )
( 5210, 7348 )
( 5215, 7353 )
( 5220, 7358 )
( 5225, 7363 )
( 5230, 7368 )
( 5235, 7373 )
( 5240, 7378 )
( 5245, 7384 )
( 5250, 7389 )
( 5255, 7394 )
( 5260, 7399 )
( 5265, 7404 )
( 5270, 7409 )
( 5275, 7415 )
( 5280, 7419 )
( 5285, 7425 )
( 5290, 7430 )
( 5295, 7435 )
( 5300, 7439 )
( 5305, 7445 )
( 5310, 7449 )
( 5315, 7454 )
( 5320, 7459 )
( 5325, 7464 )
( 5330, 7469 )
( 5335, 7473 )
( 5340, 7478 )
( 5345, 7483 )
( 5350, 7488 )
( 5355, 7493 )
( 5360, 7498 )
( 5365, 7502 )
( 5370, 7507 )
( 5375, 7512 )
( 5380, 7517 )
( 5385, 7522 )
( 5390, 7528 )
( 5395, 7533 )
( 5400, 7538 )
( 5405, 7544 )
( 5410, 7549 )
( 5415, 7554 )
( 5420, 7560 )
( 5425, 7565 )
( 5430, 7570 )
( 5435, 7576 )
( 5440, 7582 )
( 5445, 7587 )
( 5450, 7592 )
( 5455, 7597 )
( 5460, 7603 )
( 5465, 7608 )
( 5470, 7613 )
( 5475, 7618 )
( 5480, 7623 )
( 5485, 7628 )
( 5490, 7633 )
( 5495, 7639 )
( 5500, 7643 )
( 5505, 7649 )
( 5510, 7654 )
( 5515, 7659 )
( 5520, 7664 )
( 5525, 7669 )
( 5530, 7675 )
( 5535, 7680 )
( 5540, 7685 )
( 5545, 7690 )
( 5550, 7696 )
( 5555, 7701 )
( 5560, 7707 )
( 5565, 7713 )
( 5570, 7719 )
( 5575, 7724 )
( 5580, 7729 )
( 5585, 7735 )
( 5590, 7740 )
( 5595, 7745 )
( 5600, 7751 )
( 5605, 7756 )
( 5610, 7762 )
( 5615, 7768 )
( 5620, 7773 )
( 5625, 7778 )
( 5630, 7783 )
( 5635, 7789 )
( 5640, 7795 )
( 5645, 7800 )
( 5650, 7805 )
( 5655, 7810 )
( 5660, 7816 )
( 5665, 7821 )
( 5670, 7827 )
( 5675, 7834 )
( 5680, 7839 )
( 5685, 7845 )
( 5690, 7850 )
( 5695, 7855 )
( 5700, 7861 )
( 5705, 7867 )
( 5710, 7873 )
( 5715, 7878 )
( 5720, 7884 )
( 5725, 7890 )
( 5730, 7896 )
( 5735, 7902 )
( 5740, 7907 )
( 5745, 7912 )
( 5750, 7917 )
( 5755, 7922 )
( 5760, 7927 )
( 5765, 7932 )
( 5770, 7937 )
( 5775, 7943 )
( 5780, 7948 )
( 5785, 7953 )
( 5790, 7958 )
( 5795, 7963 )
( 5800, 7968 )
( 5805, 7973 )
( 5810, 7978 )
( 5815, 7984 )
( 5820, 7989 )
( 5825, 7993 )
( 5830, 7999 )
( 5835, 8005 )
( 5840, 8010 )
( 5845, 8015 )
( 5850, 8019 )
( 5855, 8024 )
( 5860, 8030 )
( 5865, 8034 )
( 5870, 8040 )
( 5875, 8046 )
( 5880, 8052 )
( 5885, 8057 )
( 5890, 8062 )
( 5895, 8067 )
( 5900, 8073 )
( 5905, 8078 )
( 5910, 8083 )
( 5915, 8088 )
( 5920, 8093 )
( 5925, 8097 )
( 5930, 8102 )
( 5935, 8108 )
( 5940, 8113 )
( 5945, 8118 )
( 5950, 8123 )
( 5955, 8128 )
( 5960, 8133 )
( 5965, 8137 )
( 5970, 8143 )
( 5975, 8147 )
( 5980, 8153 )
( 5985, 8159 )
( 5990, 8164 )
( 5995, 8170 )
( 6000, 8176 )
( 6005, 8182 )
( 6010, 8187 )
( 6015, 8193 )
( 6020, 8199 )
( 6025, 8205 )
( 6030, 8211 )
( 6035, 8217 )
( 6040, 8222 )
( 6045, 8228 )
( 6050, 8233 )
( 6055, 8238 )
( 6060, 8243 )
( 6065, 8248 )
( 6070, 8253 )
( 6075, 8259 )
( 6080, 8263 )
( 6085, 8268 )
( 6090, 8273 )
( 6095, 8279 )
( 6100, 8284 )
( 6105, 8290 )
( 6110, 8294 )
( 6115, 8300 )
( 6120, 8305 )
( 6125, 8310 )
( 6130, 8316 )
( 6135, 8322 )
( 6140, 8328 )
( 6145, 8333 )
( 6150, 8339 )
( 6155, 8344 )
( 6160, 8350 )
( 6165, 8356 )
( 6170, 8362 )
( 6175, 8367 )
( 6180, 8372 )
( 6185, 8378 )
( 6190, 8382 )
( 6195, 8387 )
( 6200, 8392 )
( 6205, 8398 )
( 6210, 8402 )
( 6215, 8408 )
( 6220, 8413 )
( 6225, 8418 )
( 6230, 8424 )
( 6235, 8429 )
( 6240, 8434 )
( 6245, 8439 )
( 6250, 8445 )
( 6255, 8450 )
( 6260, 8455 )
( 6265, 8460 )
( 6270, 8465 )
( 6275, 8471 )
( 6280, 8476 )
( 6285, 8481 )
( 6290, 8486 )
( 6295, 8491 )
( 6300, 8496 )
( 6305, 8501 )
( 6310, 8506 )
( 6315, 8512 )
( 6320, 8518 )
( 6325, 8524 )
( 6330, 8529 )
( 6335, 8535 )
( 6340, 8540 )
( 6345, 8546 )
( 6350, 8551 )
( 6355, 8557 )
( 6360, 8562 )
( 6365, 8567 )
